,index,year,country,population,color
0,0,1912,China,426808190.0,"rgb(255, 0, 0)"
1,1,1912,India,296845891.0,"rgb(252, 232, 3)"
2,2,1912,United States,92946603.0,"rgb(75, 120, 184)"
3,3,1912,Germany,64385385.0,"rgb(0, 0, 0)"
4,4,1912,Japan,51089380.0,"rgb(191, 63, 191)"
5,5,1912,United Kingdom,45217688.0,"rgb(0, 36, 125)"
6,6,1912,Indonesia,43716724.0,"rgb(255, 124, 31)"
7,7,1912,France,40047151.0,"rgb(227, 98, 158)"
8,8,1912,Italy,36213760.0,"rgb(131, 14, 173)"
9,9,1912,Bangladesh,28046274.0,"rgb(75, 227, 171)"
