,index,year,country,population,color
0,0,1915,China,440794834.0,"rgb(255, 0, 0)"
1,1,1915,India,297584511.0,"rgb(252, 232, 3)"
2,2,1915,United States,96854312.0,"rgb(75, 120, 184)"
3,3,1915,Germany,63858476.0,"rgb(0, 0, 0)"
4,4,1915,Japan,52976538.0,"rgb(191, 63, 191)"
5,5,1915,United Kingdom,45781070.0,"rgb(0, 36, 125)"
6,6,1915,Indonesia,45118696.0,"rgb(255, 124, 31)"
7,7,1915,France,39351947.0,"rgb(227, 98, 158)"
8,8,1915,Italy,36431783.0,"rgb(131, 14, 173)"
9,9,1915,Bangladesh,28188438.0,"rgb(75, 227, 171)"
