,index,year,country,population,color
0,0,1909,China,415905832.0,"rgb(255, 0, 0)"
1,1,1909,India,294397607.0,"rgb(252, 232, 3)"
2,2,1909,United States,88647362.0,"rgb(75, 120, 184)"
3,3,1909,Germany,63557664.0,"rgb(0, 0, 0)"
4,4,1909,Japan,49292444.0,"rgb(191, 63, 191)"
5,5,1909,United Kingdom,44417852.0,"rgb(0, 36, 125)"
6,6,1909,Indonesia,42366545.0,"rgb(255, 124, 31)"
7,7,1909,France,40408851.0,"rgb(227, 98, 158)"
8,8,1909,Italy,35739219.0,"rgb(131, 14, 173)"
9,9,1909,Bangladesh,27827316.0,"rgb(75, 227, 171)"
