,index,year,country,population,color
0,0,1904,China,404429383.0,"rgb(255, 0, 0)"
1,1,1904,India,286435299.0,"rgb(252, 232, 3)"
2,2,1904,United States,80705948.0,"rgb(75, 120, 184)"
3,3,1904,Germany,59181365.0,"rgb(0, 0, 0)"
4,4,1904,Japan,46488789.0,"rgb(191, 63, 191)"
5,5,1904,United Kingdom,42562831.0,"rgb(0, 36, 125)"
6,6,1904,France,40216118.0,"rgb(227, 98, 158)"
7,7,1904,Indonesia,40116661.0,"rgb(255, 124, 31)"
8,8,1904,Italy,34374827.0,"rgb(131, 14, 173)"
9,9,1904,Bangladesh,27286841.0,"rgb(75, 227, 171)"
