,index,year,country,population,color
0,0,1926,China,475363795.0,"rgb(255, 0, 0)"
1,1,1926,India,316877536.0,"rgb(252, 232, 3)"
2,2,1926,United States,113374057.0,"rgb(75, 120, 184)"
3,3,1926,Germany,65464186.0,"rgb(0, 0, 0)"
4,4,1926,Japan,61189973.0,"rgb(191, 63, 191)"
5,5,1926,Indonesia,50849550.0,"rgb(255, 124, 31)"
6,6,1926,United Kingdom,46164416.0,"rgb(0, 36, 125)"
7,7,1926,France,39769931.0,"rgb(227, 98, 158)"
8,8,1926,Italy,38796116.0,"rgb(131, 14, 173)"
9,9,1926,Brazil,31177749.0,"rgb(65, 217, 209)"
