,index,year,country,population,color
0,0,1913,China,431420404.0,"rgb(255, 0, 0)"
1,1,1913,India,297091925.0,"rgb(252, 232, 3)"
2,2,1913,United States,94231351.0,"rgb(75, 120, 184)"
3,3,1913,Germany,64209282.0,"rgb(0, 0, 0)"
4,4,1913,Japan,51710843.0,"rgb(191, 63, 191)"
5,5,1913,United Kingdom,45404707.0,"rgb(0, 36, 125)"
6,6,1913,Indonesia,44180972.0,"rgb(255, 124, 31)"
7,7,1913,France,39814066.0,"rgb(227, 98, 158)"
8,8,1913,Italy,36286291.0,"rgb(131, 14, 173)"
9,9,1913,Bangladesh,28093731.0,"rgb(75, 227, 171)"
