,index,year,country,population,color
0,0,1980,China,982372480.0,"rgb(255, 0, 0)"
1,1,1980,India,696828352.0,"rgb(252, 232, 3)"
2,2,1980,United States,223140016.0,"rgb(75, 120, 184)"
3,3,1980,Indonesia,148177104.0,"rgb(255, 124, 31)"
4,4,1980,Brazil,122288384.0,"rgb(65, 217, 209)"
5,5,1980,Japan,117624200.0,"rgb(191, 63, 191)"
6,6,1980,Bangladesh,83929768.0,"rgb(75, 227, 171)"
7,7,1980,Pakistan,80624056.0,"rgb(2, 161, 49)"
8,8,1980,Germany,77786696.0,"rgb(0, 0, 0)"
9,9,1980,Nigeria,72951440.0,"rgb(0, 128, 0)"
