,index,year,country,population,color
0,0,1989,China,1134414720.0,"rgb(255, 0, 0)"
1,1,1989,India,852012672.0,"rgb(252, 232, 3)"
2,2,1989,United States,244954096.0,"rgb(75, 120, 184)"
3,3,1989,Indonesia,178949168.0,"rgb(255, 124, 31)"
4,4,1989,Brazil,148003424.0,"rgb(65, 217, 209)"
5,5,1989,Russia,147341504.0,"rgb(75, 155, 184)"
6,6,1989,Japan,123270648.0,"rgb(191, 63, 191)"
7,7,1989,Pakistan,111670392.0,"rgb(2, 161, 49)"
8,8,1989,Bangladesh,104893672.0,"rgb(75, 227, 171)"
9,9,1989,Nigeria,92744064.0,"rgb(0, 128, 0)"
