,index,year,country,population,color
0,0,1939,China,508423146.0,"rgb(255, 0, 0)"
1,1,1939,India,371781679.0,"rgb(252, 232, 3)"
2,2,1939,United States,128160070.0,"rgb(75, 120, 184)"
3,3,1939,Japan,72625078.0,"rgb(191, 63, 191)"
4,4,1939,Germany,71499194.0,"rgb(0, 0, 0)"
5,5,1939,Indonesia,60908068.0,"rgb(255, 124, 31)"
6,6,1939,United Kingdom,47890226.0,"rgb(0, 36, 125)"
7,7,1939,Italy,43279914.0,"rgb(131, 14, 173)"
8,8,1939,Brazil,40633684.0,"rgb(65, 217, 209)"
9,9,1939,France,40314566.0,"rgb(227, 98, 158)"
