,index,year,country,population,color
0,0,1963,China,683903552.0,"rgb(255, 0, 0)"
1,1,1963,India,477933632.0,"rgb(252, 232, 3)"
2,2,1963,United States,184649872.0,"rgb(75, 120, 184)"
3,3,1963,Japan,97246712.0,"rgb(191, 63, 191)"
4,4,1963,Indonesia,95962536.0,"rgb(255, 124, 31)"
5,5,1963,Brazil,79915560.0,"rgb(65, 217, 209)"
6,6,1963,Germany,74796216.0,"rgb(0, 0, 0)"
7,7,1963,Bangladesh,55094120.0,"rgb(75, 227, 171)"
8,8,1963,United Kingdom,53508520.0,"rgb(0, 36, 125)"
9,9,1963,Italy,50555128.0,"rgb(131, 14, 173)"
