,index,year,country,population,color
0,0,1968,China,780371968.0,"rgb(255, 0, 0)"
1,1,1968,India,533431904.0,"rgb(252, 232, 3)"
2,2,1968,United States,195743424.0,"rgb(75, 120, 184)"
3,3,1968,Indonesia,109138728.0,"rgb(255, 124, 31)"
4,4,1968,Japan,102819280.0,"rgb(191, 63, 191)"
5,5,1968,Brazil,91659248.0,"rgb(65, 217, 209)"
6,6,1968,Germany,77646128.0,"rgb(0, 0, 0)"
7,7,1968,Bangladesh,63995656.0,"rgb(75, 227, 171)"
8,8,1968,Pakistan,56124740.0,"rgb(2, 161, 49)"
9,9,1968,United Kingdom,55169252.0,"rgb(0, 36, 125)"
