,index,year,country,population,color
0,0,2010,China,1348191360.0,"rgb(255, 0, 0)"
1,1,2010,India,1240613632.0,"rgb(252, 232, 3)"
2,2,2010,United States,311182848.0,"rgb(75, 120, 184)"
3,3,2010,Indonesia,244016176.0,"rgb(255, 124, 31)"
4,4,2010,Brazil,196353504.0,"rgb(65, 217, 209)"
5,5,2010,Pakistan,194454496.0,"rgb(2, 161, 49)"
6,6,2010,Nigeria,160952864.0,"rgb(0, 128, 0)"
7,7,2010,Bangladesh,148391136.0,"rgb(75, 227, 171)"
8,8,2010,Russia,143242592.0,"rgb(75, 155, 184)"
9,9,2010,Japan,128105432.0,"rgb(191, 63, 191)"
