,index,year,country,population,color
0,0,1933,China,490774936.0,"rgb(255, 0, 0)"
1,1,1933,India,343404711.0,"rgb(252, 232, 3)"
2,2,1933,United States,122717780.0,"rgb(75, 120, 184)"
3,3,1933,Germany,68666619.0,"rgb(0, 0, 0)"
4,4,1933,Japan,67243463.0,"rgb(191, 63, 191)"
5,5,1933,Indonesia,55772671.0,"rgb(255, 124, 31)"
6,6,1933,United Kingdom,46480802.0,"rgb(0, 36, 125)"
7,7,1933,Italy,41185511.0,"rgb(131, 14, 173)"
8,8,1933,France,40631855.0,"rgb(227, 98, 158)"
9,9,1933,Brazil,35934239.0,"rgb(65, 217, 209)"
