,index,year,country,population,color
0,0,1977,China,942581312.0,"rgb(255, 0, 0)"
1,1,1977,India,651685632.0,"rgb(252, 232, 3)"
2,2,1977,United States,215437408.0,"rgb(75, 120, 184)"
3,3,1977,Indonesia,137861536.0,"rgb(255, 124, 31)"
4,4,1977,Japan,114761520.0,"rgb(191, 63, 191)"
5,5,1977,Brazil,113939888.0,"rgb(65, 217, 209)"
6,6,1977,Germany,78221280.0,"rgb(0, 0, 0)"
7,7,1977,Bangladesh,78137792.0,"rgb(75, 227, 171)"
8,8,1977,Pakistan,72451112.0,"rgb(2, 161, 49)"
9,9,1977,Nigeria,66589656.0,"rgb(0, 128, 0)"
