,index,year,country,population,color
0,0,2007,China,1321513216.0,"rgb(255, 0, 0)"
1,1,2007,India,1189691776.0,"rgb(252, 232, 3)"
2,2,2007,United States,302743392.0,"rgb(75, 120, 184)"
3,3,2007,Indonesia,234858288.0,"rgb(255, 124, 31)"
4,4,2007,Brazil,190779456.0,"rgb(65, 217, 209)"
5,5,2007,Pakistan,181924528.0,"rgb(2, 161, 49)"
6,6,2007,Nigeria,148294032.0,"rgb(0, 128, 0)"
7,7,2007,Bangladesh,144135936.0,"rgb(75, 227, 171)"
8,8,2007,Russia,143117680.0,"rgb(75, 155, 184)"
9,9,2007,Japan,128006424.0,"rgb(191, 63, 191)"
