,index,year,country,population,color
0,0,1992,China,1183813376.0,"rgb(255, 0, 0)"
1,1,1992,India,907574080.0,"rgb(252, 232, 3)"
2,2,1992,United States,255175328.0,"rgb(75, 120, 184)"
3,3,1992,Indonesia,188558416.0,"rgb(255, 124, 31)"
4,4,1992,Brazil,155900784.0,"rgb(65, 217, 209)"
5,5,1992,Russia,148725600.0,"rgb(75, 155, 184)"
6,6,1992,Japan,124444696.0,"rgb(191, 63, 191)"
7,7,1992,Pakistan,122375176.0,"rgb(2, 161, 49)"
8,8,1992,Bangladesh,111272104.0,"rgb(75, 227, 171)"
9,9,1992,Nigeria,100182048.0,"rgb(0, 128, 0)"
