,index,year,country,population,color
0,0,1937,China,502514702.0,"rgb(255, 0, 0)"
1,1,1937,India,363126915.0,"rgb(252, 232, 3)"
2,2,1937,United States,126203219.0,"rgb(75, 120, 184)"
3,3,1937,Japan,70774782.0,"rgb(191, 63, 191)"
4,4,1937,Germany,70629352.0,"rgb(0, 0, 0)"
5,5,1937,Indonesia,59137646.0,"rgb(255, 124, 31)"
6,6,1937,United Kingdom,47423081.0,"rgb(0, 36, 125)"
7,7,1937,Italy,42583457.0,"rgb(131, 14, 173)"
8,8,1937,France,40392535.0,"rgb(227, 98, 158)"
9,9,1937,Brazil,38970337.0,"rgb(65, 217, 209)"
