,index,year,country,population,color
0,0,1901,China,397991980.0,"rgb(255, 0, 0)"
1,1,1901,India,281834058.0,"rgb(252, 232, 3)"
2,2,1901,United States,76245912.0,"rgb(75, 120, 184)"
3,3,1901,Germany,56591445.0,"rgb(0, 0, 0)"
4,4,1901,Japan,44903535.0,"rgb(191, 63, 191)"
5,5,1901,United Kingdom,41459153.0,"rgb(0, 36, 125)"
6,6,1901,France,40067484.0,"rgb(227, 98, 158)"
7,7,1901,Indonesia,38668903.0,"rgb(255, 124, 31)"
8,8,1901,Italy,33571430.0,"rgb(131, 14, 173)"
9,9,1901,Bangladesh,26958449.0,"rgb(75, 227, 171)"
