,index,year,country,population,color
0,0,1924,China,472011663.0,"rgb(255, 0, 0)"
1,1,1924,India,310850039.0,"rgb(252, 232, 3)"
2,2,1924,United States,110113945.0,"rgb(75, 120, 184)"
3,3,1924,Germany,64598707.0,"rgb(0, 0, 0)"
4,4,1924,Japan,59500970.0,"rgb(191, 63, 191)"
5,5,1924,Indonesia,49640203.0,"rgb(255, 124, 31)"
6,6,1924,United Kingdom,46355077.0,"rgb(0, 36, 125)"
7,7,1924,France,39258004.0,"rgb(227, 98, 158)"
8,8,1924,Italy,38128090.0,"rgb(131, 14, 173)"
9,9,1924,Brazil,29937978.0,"rgb(65, 217, 209)"
