,index,year,country,population,color
0,0,1923,China,470344471.0,"rgb(255, 0, 0)"
1,1,1923,India,307879422.0,"rgb(252, 232, 3)"
2,2,1923,United States,108519213.0,"rgb(75, 120, 184)"
3,3,1923,Germany,64170268.0,"rgb(0, 0, 0)"
4,4,1923,Japan,58674033.0,"rgb(191, 63, 191)"
5,5,1923,Indonesia,49048301.0,"rgb(255, 124, 31)"
6,6,1923,United Kingdom,46450703.0,"rgb(0, 36, 125)"
7,7,1923,France,39004517.0,"rgb(227, 98, 158)"
8,8,1923,Italy,37798403.0,"rgb(131, 14, 173)"
9,9,1923,Brazil,29336703.0,"rgb(65, 217, 209)"
