,index,year,country,population,color
0,0,1922,China,468683169.0,"rgb(255, 0, 0)"
1,1,1922,India,304937193.0,"rgb(252, 232, 3)"
2,2,1922,United States,106947578.0,"rgb(75, 120, 184)"
3,3,1922,Germany,63744670.0,"rgb(0, 0, 0)"
4,4,1922,Japan,57858589.0,"rgb(191, 63, 191)"
5,5,1922,Indonesia,48464913.0,"rgb(255, 124, 31)"
6,6,1922,United Kingdom,46546526.0,"rgb(0, 36, 125)"
7,7,1922,France,38752667.0,"rgb(227, 98, 158)"
8,8,1922,Italy,37471567.0,"rgb(131, 14, 173)"
9,9,1922,Bangladesh,28852876.0,"rgb(75, 227, 171)"
