,index,year,country,population,color
0,0,1973,China,881652096.0,"rgb(255, 0, 0)"
1,1,1973,India,596107456.0,"rgb(252, 232, 3)"
2,2,1973,United States,207314768.0,"rgb(75, 120, 184)"
3,3,1973,Indonesia,124709056.0,"rgb(255, 124, 31)"
4,4,1973,Japan,109679472.0,"rgb(191, 63, 191)"
5,5,1973,Brazil,103666904.0,"rgb(65, 217, 209)"
6,6,1973,Germany,78667472.0,"rgb(0, 0, 0)"
7,7,1973,Bangladesh,71144816.0,"rgb(75, 227, 171)"
8,8,1973,Pakistan,64285632.0,"rgb(2, 161, 49)"
9,9,1973,Nigeria,59605448.0,"rgb(0, 128, 0)"
