,index,year,country,population,color
0,0,1918,China,455336427.0,"rgb(255, 0, 0)"
1,1,1918,India,298421342.0,"rgb(252, 232, 3)"
2,2,1918,United States,100970120.0,"rgb(75, 120, 184)"
3,3,1918,Germany,63305628.0,"rgb(0, 0, 0)"
4,4,1918,Japan,54927094.0,"rgb(191, 63, 191)"
5,5,1918,United Kingdom,46352692.0,"rgb(0, 36, 125)"
6,6,1918,Indonesia,46225903.0,"rgb(255, 124, 31)"
7,7,1918,France,38680067.0,"rgb(227, 98, 158)"
8,8,1918,Italy,36659635.0,"rgb(131, 14, 173)"
9,9,1918,Bangladesh,28395953.0,"rgb(75, 227, 171)"
