,index,year,country,population,color
0,0,1907,China,411008255.0,"rgb(255, 0, 0)"
1,1,1907,India,291357804.0,"rgb(252, 232, 3)"
2,2,1907,United States,85437050.0,"rgb(75, 120, 184)"
3,3,1907,Germany,61904101.0,"rgb(0, 0, 0)"
4,4,1907,Japan,48148908.0,"rgb(191, 63, 191)"
5,5,1907,United Kingdom,43690776.0,"rgb(0, 36, 125)"
6,6,1907,Indonesia,41465424.0,"rgb(255, 124, 31)"
7,7,1907,France,40365927.0,"rgb(227, 98, 158)"
8,8,1907,Italy,35212911.0,"rgb(131, 14, 173)"
9,9,1907,Bangladesh,27617969.0,"rgb(75, 227, 171)"
