,index,year,country,population,color
0,0,2014,China,1385189632.0,"rgb(255, 0, 0)"
1,1,2014,India,1307246464.0,"rgb(252, 232, 3)"
2,2,2014,United States,322033952.0,"rgb(75, 120, 184)"
3,3,2014,Indonesia,256229760.0,"rgb(255, 124, 31)"
4,4,2014,Pakistan,208251632.0,"rgb(2, 161, 49)"
5,5,2014,Brazil,203459648.0,"rgb(65, 217, 209)"
6,6,2014,Nigeria,179379024.0,"rgb(0, 128, 0)"
7,7,2014,Bangladesh,155961312.0,"rgb(75, 227, 171)"
8,8,2014,Russia,144285072.0,"rgb(75, 155, 184)"
9,9,2014,Japan,127476728.0,"rgb(191, 63, 191)"
