,index,year,country,population,color
0,0,1944,China,522386167.0,"rgb(255, 0, 0)"
1,1,1944,India,367477113.0,"rgb(252, 232, 3)"
2,2,1944,United States,136218191.0,"rgb(75, 120, 184)"
3,3,1944,Japan,77735509.0,"rgb(191, 63, 191)"
4,4,1944,Germany,71527635.0,"rgb(0, 0, 0)"
5,5,1944,Indonesia,64654432.0,"rgb(255, 124, 31)"
6,6,1944,United Kingdom,48892093.0,"rgb(0, 36, 125)"
7,7,1944,Brazil,46008096.0,"rgb(65, 217, 209)"
8,8,1944,Italy,44730474.0,"rgb(131, 14, 173)"
9,9,1944,France,40803492.0,"rgb(227, 98, 158)"
