,index,year,country,population,color
0,0,1984,China,1044172224.0,"rgb(255, 0, 0)"
1,1,1984,India,762895168.0,"rgb(252, 232, 3)"
2,2,1984,United States,232766288.0,"rgb(75, 120, 184)"
3,3,1984,Indonesia,162331968.0,"rgb(255, 124, 31)"
4,4,1984,Brazil,133888776.0,"rgb(65, 217, 209)"
5,5,1984,Japan,120470736.0,"rgb(191, 63, 191)"
6,6,1984,Pakistan,94003880.0,"rgb(2, 161, 49)"
7,7,1984,Bangladesh,93534248.0,"rgb(75, 227, 171)"
8,8,1984,Nigeria,81337552.0,"rgb(0, 128, 0)"
9,9,1984,Germany,77568576.0,"rgb(0, 0, 0)"
