,index,year,country,population,color
0,0,2019,China,1421864064.0,"rgb(255, 0, 0)"
1,1,2019,India,1383112064.0,"rgb(252, 232, 3)"
2,2,2019,United States,334319680.0,"rgb(75, 120, 184)"
3,3,2019,Indonesia,269582880.0,"rgb(255, 124, 31)"
4,4,2019,Pakistan,223293280.0,"rgb(2, 161, 49)"
5,5,2019,Brazil,211782880.0,"rgb(65, 217, 209)"
6,6,2019,Nigeria,203304496.0,"rgb(0, 128, 0)"
7,7,2019,Bangladesh,165516224.0,"rgb(75, 227, 171)"
8,8,2019,Russia,145742288.0,"rgb(75, 155, 184)"
9,9,2019,Japan,125791680.0,"rgb(191, 63, 191)"
