,index,year,country,population,color
0,0,1981,China,997259520.0,"rgb(255, 0, 0)"
1,1,1981,India,712869312.0,"rgb(252, 232, 3)"
2,2,1981,United States,225654000.0,"rgb(75, 120, 184)"
3,3,1981,Indonesia,151686336.0,"rgb(255, 124, 31)"
4,4,1981,Brazil,125168064.0,"rgb(65, 217, 209)"
5,5,1981,Japan,118385728.0,"rgb(191, 63, 191)"
6,6,1981,Bangladesh,86154832.0,"rgb(75, 227, 171)"
7,7,1981,Pakistan,84270208.0,"rgb(2, 161, 49)"
8,8,1981,Germany,77684488.0,"rgb(0, 0, 0)"
9,9,1981,Nigeria,75175392.0,"rgb(0, 128, 0)"
