,index,year,country,population,color
0,0,1938,China,505493263.0,"rgb(255, 0, 0)"
1,1,1938,India,368231967.0,"rgb(252, 232, 3)"
2,2,1938,United States,127089938.0,"rgb(75, 120, 184)"
3,3,1938,Japan,71686216.0,"rgb(191, 63, 191)"
4,4,1938,Germany,71128740.0,"rgb(0, 0, 0)"
5,5,1938,Indonesia,60015810.0,"rgb(255, 124, 31)"
6,6,1938,United Kingdom,47661620.0,"rgb(0, 36, 125)"
7,7,1938,Italy,42940295.0,"rgb(131, 14, 173)"
8,8,1938,France,40332925.0,"rgb(227, 98, 158)"
9,9,1938,Brazil,39768626.0,"rgb(65, 217, 209)"
