,index,year,country,population,color
0,0,1917,China,450372881.0,"rgb(255, 0, 0)"
1,1,1917,India,298077789.0,"rgb(252, 232, 3)"
2,2,1917,United States,99550208.0,"rgb(75, 120, 184)"
3,3,1917,Germany,63509528.0,"rgb(0, 0, 0)"
4,4,1917,Japan,54273209.0,"rgb(191, 63, 191)"
5,5,1917,United Kingdom,46160552.0,"rgb(0, 36, 125)"
6,6,1917,Indonesia,45837761.0,"rgb(255, 124, 31)"
7,7,1917,France,38895178.0,"rgb(227, 98, 158)"
8,8,1917,Italy,36577850.0,"rgb(131, 14, 173)"
9,9,1917,Bangladesh,28282858.0,"rgb(75, 227, 171)"
