,index,year,country,population,color
0,0,1916,China,445558131.0,"rgb(255, 0, 0)"
1,1,1916,India,297831063.0,"rgb(252, 232, 3)"
2,2,1916,United States,98193018.0,"rgb(75, 120, 184)"
3,3,1916,Germany,63683770.0,"rgb(0, 0, 0)"
4,4,1916,Japan,53620954.0,"rgb(191, 63, 191)"
5,5,1916,United Kingdom,45970420.0,"rgb(0, 36, 125)"
6,6,1916,Indonesia,45528655.0,"rgb(255, 124, 31)"
7,7,1916,France,39122898.0,"rgb(227, 98, 158)"
8,8,1916,Italy,36504744.0,"rgb(131, 14, 173)"
9,9,1916,Bangladesh,28235684.0,"rgb(75, 227, 171)"
