,index,year,country,population,color
0,0,2021,China,1425893504.0,"rgb(255, 0, 0)"
1,1,2021,India,1407563904.0,"rgb(252, 232, 3)"
2,2,2021,United States,336997632.0,"rgb(75, 120, 184)"
3,3,2021,Indonesia,273753184.0,"rgb(255, 124, 31)"
4,4,2021,Pakistan,231402112.0,"rgb(2, 161, 49)"
5,5,2021,Brazil,214326224.0,"rgb(65, 217, 209)"
6,6,2021,Nigeria,213401328.0,"rgb(0, 128, 0)"
7,7,2021,Bangladesh,169356240.0,"rgb(75, 227, 171)"
8,8,2021,Russia,145102752.0,"rgb(75, 155, 184)"
9,9,2021,Mexico,126705136.0,"rgb(0, 104, 71)"
