,index,year,country,population,color
0,0,1935,China,496610129.0,"rgb(255, 0, 0)"
1,1,1935,India,353128154.0,"rgb(252, 232, 3)"
2,2,1935,United States,124448298.0,"rgb(75, 120, 184)"
3,3,1935,Germany,69641071.0,"rgb(0, 0, 0)"
4,4,1935,Japan,68986531.0,"rgb(191, 63, 191)"
5,5,1935,Indonesia,57426239.0,"rgb(255, 124, 31)"
6,6,1935,United Kingdom,46949578.0,"rgb(0, 36, 125)"
7,7,1935,Italy,41878651.0,"rgb(131, 14, 173)"
8,8,1935,France,40512018.0,"rgb(227, 98, 158)"
9,9,1935,Brazil,37421510.0,"rgb(65, 217, 209)"
