,index,year,country,population,color
0,0,1993,China,1195855616.0,"rgb(255, 0, 0)"
1,1,1993,India,926351296.0,"rgb(252, 232, 3)"
2,2,1993,United States,258779760.0,"rgb(75, 120, 184)"
3,3,1993,Indonesia,191737280.0,"rgb(255, 124, 31)"
4,4,1993,Brazil,158440864.0,"rgb(65, 217, 209)"
5,5,1993,Russia,148897280.0,"rgb(75, 155, 184)"
6,6,1993,Pakistan,125546624.0,"rgb(2, 161, 49)"
7,7,1993,Japan,124779576.0,"rgb(191, 63, 191)"
8,8,1993,Bangladesh,113418760.0,"rgb(75, 227, 171)"
9,9,1993,Nigeria,102775472.0,"rgb(0, 128, 0)"
