,index,year,country,population,color
0,0,1929,China,480666438.0,"rgb(255, 0, 0)"
1,1,1929,India,326429031.0,"rgb(252, 232, 3)"
2,2,1929,United States,118261782.0,"rgb(75, 120, 184)"
3,3,1929,Germany,66789491.0,"rgb(0, 0, 0)"
4,4,1929,Japan,63798063.0,"rgb(191, 63, 191)"
5,5,1929,Indonesia,52730659.0,"rgb(255, 124, 31)"
6,6,1929,United Kingdom,45944804.0,"rgb(0, 36, 125)"
7,7,1929,France,40485273.0,"rgb(227, 98, 158)"
8,8,1929,Italy,39817412.0,"rgb(131, 14, 173)"
9,9,1929,Brazil,33134257.0,"rgb(65, 217, 209)"
