,index,year,country,population,color
0,0,1902,China,400101986.0,"rgb(255, 0, 0)"
1,1,1902,India,283199773.0,"rgb(252, 232, 3)"
2,2,1902,United States,77698268.0,"rgb(75, 120, 184)"
3,3,1902,Germany,57433002.0,"rgb(0, 0, 0)"
4,4,1902,Japan,45413962.0,"rgb(191, 63, 191)"
5,5,1902,United Kingdom,41827091.0,"rgb(0, 36, 125)"
6,6,1902,France,40116538.0,"rgb(227, 98, 158)"
7,7,1902,Indonesia,39163692.0,"rgb(255, 124, 31)"
8,8,1902,Italy,33827207.0,"rgb(131, 14, 173)"
9,9,1902,Bangladesh,27067609.0,"rgb(75, 227, 171)"
