,index,year,country,population,color
0,0,2008,China,1330167168.0,"rgb(255, 0, 0)"
1,1,2008,India,1206734848.0,"rgb(252, 232, 3)"
2,2,2008,United States,305694912.0,"rgb(75, 120, 184)"
3,3,2008,Indonesia,237936544.0,"rgb(255, 124, 31)"
4,4,2008,Brazil,192672320.0,"rgb(65, 217, 209)"
5,5,2008,Pakistan,185931952.0,"rgb(2, 161, 49)"
6,6,2008,Nigeria,152382512.0,"rgb(0, 128, 0)"
7,7,2008,Bangladesh,145421328.0,"rgb(75, 227, 171)"
8,8,2008,Russia,143086544.0,"rgb(75, 155, 184)"
9,9,2008,Japan,128077632.0,"rgb(191, 63, 191)"
