,index,year,country,population,color
0,0,1972,China,862840384.0,"rgb(255, 0, 0)"
1,1,1972,India,582837952.0,"rgb(252, 232, 3)"
2,2,1972,United States,205238384.0,"rgb(75, 120, 184)"
3,3,1972,Indonesia,121504136.0,"rgb(255, 124, 31)"
4,4,1972,Japan,108220400.0,"rgb(191, 63, 191)"
5,5,1972,Brazil,101194392.0,"rgb(65, 217, 209)"
6,6,1972,Germany,78643560.0,"rgb(0, 0, 0)"
7,7,1972,Bangladesh,69346712.0,"rgb(75, 227, 171)"
8,8,1972,Pakistan,62509568.0,"rgb(2, 161, 49)"
9,9,1972,Nigeria,58173832.0,"rgb(0, 128, 0)"
