,index,year,country,population,color
0,0,1925,China,473684764.0,"rgb(255, 0, 0)"
1,1,1925,India,313849318.0,"rgb(252, 232, 3)"
2,2,1925,United States,111732111.0,"rgb(75, 120, 184)"
3,3,1925,Germany,65030007.0,"rgb(0, 0, 0)"
4,4,1925,Japan,60339562.0,"rgb(191, 63, 191)"
5,5,1925,Indonesia,50240326.0,"rgb(255, 124, 31)"
6,6,1925,United Kingdom,46259648.0,"rgb(0, 36, 125)"
7,7,1925,France,39513139.0,"rgb(227, 98, 158)"
8,8,1925,Italy,38460652.0,"rgb(131, 14, 173)"
9,9,1925,Brazil,30551576.0,"rgb(65, 217, 209)"
