,index,year,country,population,color
0,0,1958,China,643791552.0,"rgb(255, 0, 0)"
1,1,1958,India,426295776.0,"rgb(252, 232, 3)"
2,2,1958,United States,170147104.0,"rgb(75, 120, 184)"
3,3,1958,Japan,92671296.0,"rgb(191, 63, 191)"
4,4,1958,Indonesia,83818760.0,"rgb(255, 124, 31)"
5,5,1958,Germany,72136480.0,"rgb(0, 0, 0)"
6,6,1958,Brazil,68735928.0,"rgb(65, 217, 209)"
7,7,1958,United Kingdom,51960820.0,"rgb(0, 36, 125)"
8,8,1958,Italy,48930472.0,"rgb(131, 14, 173)"
9,9,1958,Bangladesh,47742792.0,"rgb(75, 227, 171)"
