,index,year,country,population,color
0,0,1928,China,478739734.0,"rgb(255, 0, 0)"
1,1,1928,India,323021910.0,"rgb(252, 232, 3)"
2,2,1928,United States,116730690.0,"rgb(75, 120, 184)"
3,3,1928,Germany,66341260.0,"rgb(0, 0, 0)"
4,4,1928,Japan,62926919.0,"rgb(191, 63, 191)"
5,5,1928,Indonesia,52094423.0,"rgb(255, 124, 31)"
6,6,1928,United Kingdom,45974538.0,"rgb(0, 36, 125)"
7,7,1928,France,40288534.0,"rgb(227, 98, 158)"
8,8,1928,Italy,39475845.0,"rgb(131, 14, 173)"
9,9,1928,Brazil,32468862.0,"rgb(65, 217, 209)"
