,index,year,country,population,color
0,0,1942,China,516914309.0,"rgb(255, 0, 0)"
1,1,1942,India,372999886.0,"rgb(252, 232, 3)"
2,2,1942,United States,132508765.0,"rgb(75, 120, 184)"
3,3,1942,Japan,75612006.0,"rgb(191, 63, 191)"
4,4,1942,Germany,71830612.0,"rgb(0, 0, 0)"
5,5,1942,Indonesia,63742503.0,"rgb(255, 124, 31)"
6,6,1942,United Kingdom,48515502.0,"rgb(0, 36, 125)"
7,7,1942,Italy,44192767.0,"rgb(131, 14, 173)"
8,8,1942,Brazil,43657003.0,"rgb(65, 217, 209)"
9,9,1942,France,40507882.0,"rgb(227, 98, 158)"
