,index,year,country,population,color
0,0,2015,China,1393715456.0,"rgb(255, 0, 0)"
1,1,2015,India,1322866560.0,"rgb(252, 232, 3)"
2,2,2015,United States,324607776.0,"rgb(75, 120, 184)"
3,3,2015,Indonesia,259091968.0,"rgb(255, 124, 31)"
4,4,2015,Pakistan,210969296.0,"rgb(2, 161, 49)"
5,5,2015,Brazil,205188208.0,"rgb(65, 217, 209)"
6,6,2015,Nigeria,183995776.0,"rgb(0, 128, 0)"
7,7,2015,Bangladesh,157830000.0,"rgb(75, 227, 171)"
8,8,2015,Russia,144668384.0,"rgb(75, 155, 184)"
9,9,2015,Japan,127250936.0,"rgb(191, 63, 191)"
