,index,year,country,population,color
0,0,1988,China,1115889792.0,"rgb(255, 0, 0)"
1,1,1988,India,833729664.0,"rgb(252, 232, 3)"
2,2,1988,United States,242287808.0,"rgb(75, 120, 184)"
3,3,1988,Indonesia,175694640.0,"rgb(255, 124, 31)"
4,4,1988,Russia,146464384.0,"rgb(75, 155, 184)"
5,5,1988,Brazil,145253984.0,"rgb(65, 217, 209)"
6,6,1988,Japan,122798304.0,"rgb(191, 63, 191)"
7,7,1988,Pakistan,107967840.0,"rgb(2, 161, 49)"
8,8,1988,Bangladesh,102688832.0,"rgb(75, 227, 171)"
9,9,1988,Nigeria,90351464.0,"rgb(0, 128, 0)"
