,index,year,country,population,color
0,0,2020,China,1424929792.0,"rgb(255, 0, 0)"
1,1,2020,India,1396387072.0,"rgb(252, 232, 3)"
2,2,2020,United States,335942016.0,"rgb(75, 120, 184)"
3,3,2020,Indonesia,271857984.0,"rgb(255, 124, 31)"
4,4,2020,Pakistan,227196736.0,"rgb(2, 161, 49)"
5,5,2020,Brazil,213196304.0,"rgb(65, 217, 209)"
6,6,2020,Nigeria,208327408.0,"rgb(0, 128, 0)"
7,7,2020,Bangladesh,167420944.0,"rgb(75, 227, 171)"
8,8,2020,Russia,145617328.0,"rgb(75, 155, 184)"
9,9,2020,Mexico,125998296.0,"rgb(0, 104, 71)"
