,index,year,country,population,color
0,0,1960,China,654170688.0,"rgb(255, 0, 0)"
1,1,1960,India,445954560.0,"rgb(252, 232, 3)"
2,2,1960,United States,176188576.0,"rgb(75, 120, 184)"
3,3,1960,Japan,94464840.0,"rgb(191, 63, 191)"
4,4,1960,Indonesia,88382888.0,"rgb(255, 124, 31)"
5,5,1960,Brazil,73092520.0,"rgb(65, 217, 209)"
6,6,1960,Germany,73063696.0,"rgb(0, 0, 0)"
7,7,1960,United Kingdom,52543024.0,"rgb(0, 36, 125)"
8,8,1960,Bangladesh,50396428.0,"rgb(75, 227, 171)"
9,9,1960,Italy,49517708.0,"rgb(131, 14, 173)"
