,index,year,country,population,color
0,0,1905,China,406610574.0,"rgb(255, 0, 0)"
1,1,1905,India,288066854.0,"rgb(252, 232, 3)"
2,2,1905,United States,82253148.0,"rgb(75, 120, 184)"
3,3,1905,Germany,60075384.0,"rgb(0, 0, 0)"
4,4,1905,Japan,47035703.0,"rgb(191, 63, 191)"
5,5,1905,United Kingdom,42935539.0,"rgb(0, 36, 125)"
6,6,1905,Indonesia,40574022.0,"rgb(255, 124, 31)"
7,7,1905,France,40265996.0,"rgb(227, 98, 158)"
8,8,1905,Italy,34651950.0,"rgb(131, 14, 173)"
9,9,1905,Bangladesh,27396914.0,"rgb(75, 227, 171)"
