,index,year,country,population,color
0,0,1967,China,761006272.0,"rgb(255, 0, 0)"
1,1,1967,India,521987072.0,"rgb(252, 232, 3)"
2,2,1967,United States,193782432.0,"rgb(75, 120, 184)"
3,3,1967,Indonesia,106260752.0,"rgb(255, 124, 31)"
4,4,1967,Japan,101527856.0,"rgb(191, 63, 191)"
5,5,1967,Brazil,89323288.0,"rgb(65, 217, 209)"
6,6,1967,Germany,77173552.0,"rgb(0, 0, 0)"
7,7,1967,Bangladesh,62104488.0,"rgb(75, 227, 171)"
8,8,1967,United Kingdom,54876360.0,"rgb(0, 36, 125)"
9,9,1967,Pakistan,54629796.0,"rgb(2, 161, 49)"
