,index,year,country,population,color
0,0,1950,China,543979200.0,"rgb(255, 0, 0)"
1,1,1950,India,357021120.0,"rgb(252, 232, 3)"
2,2,1950,United States,148281552.0,"rgb(75, 120, 184)"
3,3,1950,Japan,84353056.0,"rgb(191, 63, 191)"
4,4,1950,Germany,70964104.0,"rgb(0, 0, 0)"
5,5,1950,Indonesia,69567624.0,"rgb(255, 124, 31)"
6,6,1950,Brazil,53955360.0,"rgb(65, 217, 209)"
7,7,1950,United Kingdom,50055068.0,"rgb(0, 36, 125)"
8,8,1950,Italy,46391944.0,"rgb(131, 14, 173)"
9,9,1950,France,41842356.0,"rgb(227, 98, 158)"
