,index,year,country,population,color
0,0,2000,China,1264099072.0,"rgb(255, 0, 0)"
1,1,2000,India,1059633664.0,"rgb(252, 232, 3)"
2,2,2000,United States,282398560.0,"rgb(75, 120, 184)"
3,3,2000,Indonesia,214072416.0,"rgb(255, 124, 31)"
4,4,2000,Brazil,175873712.0,"rgb(65, 217, 209)"
5,5,2000,Pakistan,154369920.0,"rgb(2, 161, 49)"
6,6,2000,Russia,146844848.0,"rgb(75, 155, 184)"
7,7,2000,Bangladesh,129193336.0,"rgb(75, 227, 171)"
8,8,2000,Japan,126803864.0,"rgb(191, 63, 191)"
9,9,2000,Nigeria,122851984.0,"rgb(0, 128, 0)"
