,index,year,country,population,color
0,0,1921,China,466341893.0,"rgb(255, 0, 0)"
1,1,1921,India,302525896.0,"rgb(252, 232, 3)"
2,2,1921,United States,105407425.0,"rgb(75, 120, 184)"
3,3,1921,Germany,63445847.0,"rgb(0, 0, 0)"
4,4,1921,Japan,57076902.0,"rgb(191, 63, 191)"
5,5,1921,Indonesia,47889453.0,"rgb(255, 124, 31)"
6,6,1921,United Kingdom,46584515.0,"rgb(0, 36, 125)"
7,7,1921,France,38594388.0,"rgb(227, 98, 158)"
8,8,1921,Italy,37194808.0,"rgb(131, 14, 173)"
9,9,1921,Bangladesh,28737961.0,"rgb(75, 227, 171)"
