,index,year,country,population,color
0,0,2009,China,1339125632.0,"rgb(255, 0, 0)"
1,1,2009,India,1223640192.0,"rgb(252, 232, 3)"
2,2,2009,United States,308512032.0,"rgb(75, 120, 184)"
3,3,2009,Indonesia,240981296.0,"rgb(255, 124, 31)"
4,4,2009,Brazil,194517552.0,"rgb(65, 217, 209)"
5,5,2009,Pakistan,190123232.0,"rgb(2, 161, 49)"
6,6,2009,Nigeria,156595744.0,"rgb(0, 128, 0)"
7,7,2009,Bangladesh,146706816.0,"rgb(75, 227, 171)"
8,8,2009,Russia,143163648.0,"rgb(75, 155, 184)"
9,9,2009,Japan,128117040.0,"rgb(191, 63, 191)"
