,index,year,country,population,color
0,0,1983,China,1029226880.0,"rgb(255, 0, 0)"
1,1,1983,India,745826560.0,"rgb(252, 232, 3)"
2,2,1983,United States,230389968.0,"rgb(75, 120, 184)"
3,3,1983,Indonesia,158790608.0,"rgb(255, 124, 31)"
4,4,1983,Brazil,130977376.0,"rgb(65, 217, 209)"
5,5,1983,Japan,119793752.0,"rgb(191, 63, 191)"
6,6,1983,Pakistan,91080376.0,"rgb(2, 161, 49)"
7,7,1983,Bangladesh,91045480.0,"rgb(75, 227, 171)"
8,8,1983,Nigeria,79351592.0,"rgb(0, 128, 0)"
9,9,1983,Germany,77566064.0,"rgb(0, 0, 0)"
