,index,year,country,population,color
0,0,1999,China,1255433216.0,"rgb(255, 0, 0)"
1,1,1999,India,1040500032.0,"rgb(252, 232, 3)"
2,2,1999,United States,279181568.0,"rgb(75, 120, 184)"
3,3,1999,Indonesia,210996912.0,"rgb(255, 124, 31)"
4,4,1999,Brazil,173486272.0,"rgb(65, 217, 209)"
5,5,1999,Pakistan,149694464.0,"rgb(2, 161, 49)"
6,6,1999,Russia,147336384.0,"rgb(75, 155, 184)"
7,7,1999,Bangladesh,126754824.0,"rgb(75, 227, 171)"
8,8,1999,Japan,126555064.0,"rgb(191, 63, 191)"
9,9,1999,Nigeria,119695568.0,"rgb(0, 128, 0)"
